label,analysisId,covariateIds
Age group,3,
Gender: female,1,8532001
Race,4,
Ethnicity,5,
Medical history: General,210,"4006969210,438409210,4212540210,255573210,201606210,4182210210,440383210,201820210,318800210,192671210,439727210,432867210,316866210,4104000210,433736210,80180210,255848210,140168210,4030518210,80809210,435783210,4279309210,81893210,81902210,197494210,4134440210"
Medical history: Cardiovascular disease,210,"313217210,381591210,317576210,321588210,316139210,4185932210,321052210,440417210,444247210"
Medical history: Neoplasms,210,"4044013210,432571210,40481902210,443392210,4112853210,4180790210,443388210,197508210,200962210"
Medication use,410,"21601782410,21602796410,21604686410,21604389410,21603932410,21601387410,21602028410,21600960410,21601664410,21601744410,21601461410,21600046410,21603248410,21600712410,21603890410,21601853410,21604254410,21604489410,21604752410"
Medical history: procedures,501,"4194964501,4144565501,2000259501,4293902501,4067285501,2002179501,2002266501,4031059501,4031321501,43531072501,4010109501,4238814501,40490900501,4214031501,2005950501,4238720501,4128032501,4075540501,4158892501,2000924501,4300372501,4034458501,4309438501,4308878501,4143592501,4203936501,4296695501,4275564501,4299725501,4193109501,4145752501,4034680501,2001388501,4101687501,4194253501,2001429501,4125943501,4140268501,4194197501,4329725501,4263051501,4210457501,4032923501,4124391501,2000283501,4323283501,4061290501,4285145501,4034554501,4343575501,4166295501,4301352501,4223516501,2006376501,4050568501,4047006501,4188741501,4069031501,4343120501,4139931501,4298562501,4241198501,2103381501,4343791501,4122300501,4179027501"
Lab values: ,708,"3001123708,3002030708,3003338708,3013682708,3006504708,3006906708,3006923708,3007461708,3010813708,3013721708,3016723708,3018010708,3019069708,3019897708,3020630708,3022096708,3023314708,3024561708,3024731708,3026361708,3027484708,3024128708,3035941708,3035995708,3011904708,3037556708,3023103708,3014576708,3019550708"
Charlson comorbidity index,901,1901
CHADS2Vasc,904,1904
DCSI,902,1902
